A1: 3 MB malloc, 13 MB malloc, -5 MB malloc, 18 MB malloc, 16 MB malloc, 0 MB malloc, 2 MB malloc, 19 MB malloc, 23 MB malloc, 6 MB malloc
A448: 13 MB malloc, 15 MB malloc, 13 MB malloc, 20 MB malloc, 18 MB malloc, 18 MB malloc, 20 MB malloc, 21 MB malloc, 25 MB malloc, 24 MB malloc
A449: 29 MB malloc, 30 MB malloc, 30 MB malloc, 35 MB malloc, 33 MB malloc, 35 MB malloc, 37 MB malloc, 36 MB malloc, 40 MB malloc, 41 MB malloc
A450: 20 MB malloc, 21 MB malloc, 21 MB malloc, 26 MB malloc, 24 MB malloc, 26 MB malloc, 28 MB malloc, 27 MB malloc, 31 MB malloc, 32 MB malloc
A451: 3 MB malloc, 4 MB malloc, 4 MB malloc, 9 MB malloc, 7 MB malloc, 9 MB malloc, 11 MB malloc, 10 MB malloc, 14 MB malloc, 15 MB malloc
A452: 4 MB malloc, 7 MB malloc, 3 MB malloc, 12 MB malloc, 10 MB malloc, 8 MB malloc, 10 MB malloc, 13 MB malloc, 17 MB malloc, 14 MB malloc
A453: 25 MB malloc, 28 MB malloc, 24 MB malloc, 33 MB malloc, 31 MB malloc, 29 MB malloc, 31 MB malloc, 34 MB malloc, 38 MB malloc, 35 MB malloc
A454: 24 MB malloc, 25 MB malloc, 25 MB malloc, 30 MB malloc, 28 MB malloc, 30 MB malloc, 32 MB malloc, 31 MB malloc, 35 MB malloc, 36 MB malloc
A455: 16 MB malloc, 17 MB malloc, 17 MB malloc, 22 MB malloc, 20 MB malloc, 22 MB malloc, 24 MB malloc, 23 MB malloc, 27 MB malloc, 28 MB malloc
A456: 25 MB malloc, 30 MB malloc, 22 MB malloc, 35 MB malloc, 33 MB malloc, 27 MB malloc, 29 MB malloc, 36 MB malloc, 40 MB malloc, 33 MB malloc
A457: 30 MB malloc, 31 MB malloc, 31 MB malloc, 36 MB malloc, 34 MB malloc, 36 MB malloc, 38 MB malloc, 37 MB malloc, 41 MB malloc, 42 MB malloc
A458: 20 MB malloc, 21 MB malloc, 21 MB malloc, 26 MB malloc, 24 MB malloc, 26 MB malloc, 28 MB malloc, 27 MB malloc, 31 MB malloc, 32 MB malloc
A459: 21 MB malloc, 22 MB malloc, 22 MB malloc, 27 MB malloc, 25 MB malloc, 27 MB malloc, 29 MB malloc, 28 MB malloc, 32 MB malloc, 33 MB malloc
A460: 30 MB malloc, 33 MB malloc, 29 MB malloc, 38 MB malloc, 36 MB malloc, 34 MB malloc, 36 MB malloc, 39 MB malloc, 43 MB malloc, 40 MB malloc
A461: 12 MB malloc, 13 MB malloc, 13 MB malloc, 18 MB malloc, 16 MB malloc, 18 MB malloc, 20 MB malloc, 19 MB malloc, 23 MB malloc, 24 MB malloc
A462: 4 MB malloc, 5 MB malloc, 5 MB malloc, 10 MB malloc, 8 MB malloc, 10 MB malloc, 12 MB malloc, 11 MB malloc, 15 MB malloc, 16 MB malloc
A463: 8 MB malloc, 12 MB malloc, 6 MB malloc, 17 MB malloc, 15 MB malloc, 11 MB malloc, 13 MB malloc, 18 MB malloc, 22 MB malloc, 17 MB malloc
A464: 16 MB malloc, 17 MB malloc, 17 MB malloc, 22 MB malloc, 20 MB malloc, 22 MB malloc, 24 MB malloc, 23 MB malloc, 27 MB malloc, 28 MB malloc
A465: 11 MB malloc, 18 MB malloc, 6 MB malloc, 23 MB malloc, 21 MB malloc, 11 MB malloc, 13 MB malloc, 24 MB malloc, 28 MB malloc, 17 MB malloc
A466: 1 MB malloc, 2 MB malloc, 2 MB malloc, 7 MB malloc, 5 MB malloc, 7 MB malloc, 9 MB malloc, 8 MB malloc, 12 MB malloc, 13 MB malloc
A467: 7 MB malloc, 11 MB malloc, 5 MB malloc, 16 MB malloc, 14 MB malloc, 10 MB malloc, 12 MB malloc, 17 MB malloc, 21 MB malloc, 16 MB malloc
A468: 17 MB malloc, 18 MB malloc, 18 MB malloc, 23 MB malloc, 21 MB malloc, 23 MB malloc, 25 MB malloc, 24 MB malloc, 28 MB malloc, 29 MB malloc
A469: 7 MB malloc, 14 MB malloc, 2 MB malloc, 19 MB malloc, 17 MB malloc, 7 MB malloc, 9 MB malloc, 20 MB malloc, 24 MB malloc, 13 MB malloc
A470: 9 MB malloc, 11 MB malloc, 9 MB malloc, 16 MB malloc, 14 MB malloc, 14 MB malloc, 16 MB malloc, 17 MB malloc, 21 MB malloc, 20 MB malloc
A471: 6 MB malloc, 8 MB malloc, 6 MB malloc, 13 MB malloc, 11 MB malloc, 11 MB malloc, 13 MB malloc, 14 MB malloc, 18 MB malloc, 17 MB malloc
A472: 17 MB malloc, 18 MB malloc, 18 MB malloc, 23 MB malloc, 21 MB malloc, 23 MB malloc, 25 MB malloc, 24 MB malloc, 28 MB malloc, 29 MB malloc
A473: 15 MB malloc, 20 MB malloc, 12 MB malloc, 25 MB malloc, 23 MB malloc, 17 MB malloc, 19 MB malloc, 26 MB malloc, 30 MB malloc, 23 MB malloc
A474: 5 MB malloc, 7 MB malloc, 5 MB malloc, 12 MB malloc, 10 MB malloc, 10 MB malloc, 12 MB malloc, 13 MB malloc, 17 MB malloc, 16 MB malloc
A475: 28 MB malloc, 29 MB malloc, 29 MB malloc, 34 MB malloc, 32 MB malloc, 34 MB malloc, 36 MB malloc, 35 MB malloc, 39 MB malloc, 40 MB malloc
A476: 13 MB malloc, 14 MB malloc, 14 MB malloc, 19 MB malloc, 17 MB malloc, 19 MB malloc, 21 MB malloc, 20 MB malloc, 24 MB malloc, 25 MB malloc
A477: 12 MB malloc, 15 MB malloc, 11 MB malloc, 20 MB malloc, 18 MB malloc, 16 MB malloc, 18 MB malloc, 21 MB malloc, 25 MB malloc, 22 MB malloc
A478: 20 MB malloc, 22 MB malloc, 20 MB malloc, 27 MB malloc, 25 MB malloc, 25 MB malloc, 27 MB malloc, 28 MB malloc, 32 MB malloc, 31 MB malloc
A479: 19 MB malloc, 22 MB malloc, 18 MB malloc, 27 MB malloc, 25 MB malloc, 23 MB malloc, 25 MB malloc, 28 MB malloc, 32 MB malloc, 29 MB malloc
A480: 28 MB malloc, 33 MB malloc, 25 MB malloc, 38 MB malloc, 36 MB malloc, 30 MB malloc, 32 MB malloc, 39 MB malloc, 43 MB malloc, 36 MB malloc
A481: 30 MB malloc, 31 MB malloc, 31 MB malloc, 36 MB malloc, 34 MB malloc, 36 MB malloc, 38 MB malloc, 37 MB malloc, 41 MB malloc, 42 MB malloc
A482: 8 MB malloc, 9 MB malloc, 9 MB malloc, 14 MB malloc, 12 MB malloc, 14 MB malloc, 16 MB malloc, 15 MB malloc, 19 MB malloc, 20 MB malloc
A483: 3 MB malloc, 4 MB malloc, 4 MB malloc, 9 MB malloc, 7 MB malloc, 9 MB malloc, 11 MB malloc, 10 MB malloc, 14 MB malloc, 15 MB malloc
A484: 12 MB malloc, 16 MB malloc, 10 MB malloc, 21 MB malloc, 19 MB malloc, 15 MB malloc, 17 MB malloc, 22 MB malloc, 26 MB malloc, 21 MB malloc
A485: 22 MB malloc, 23 MB malloc, 23 MB malloc, 28 MB malloc, 26 MB malloc, 28 MB malloc, 30 MB malloc, 29 MB malloc, 33 MB malloc, 34 MB malloc
A486: 11 MB malloc, 13 MB malloc, 11 MB malloc, 18 MB malloc, 16 MB malloc, 16 MB malloc, 18 MB malloc, 19 MB malloc, 23 MB malloc, 22 MB malloc
A487: 23 MB malloc, 25 MB malloc, 23 MB malloc, 30 MB malloc, 28 MB malloc, 28 MB malloc, 30 MB malloc, 31 MB malloc, 35 MB malloc, 34 MB malloc
A488: 22 MB malloc, 23 MB malloc, 23 MB malloc, 28 MB malloc, 26 MB malloc, 28 MB malloc, 30 MB malloc, 29 MB malloc, 33 MB malloc, 34 MB malloc
A489: 7 MB malloc, 10 MB malloc, 6 MB malloc, 15 MB malloc, 13 MB malloc, 11 MB malloc, 13 MB malloc, 16 MB malloc, 20 MB malloc, 17 MB malloc
A490: 21 MB malloc, 22 MB malloc, 22 MB malloc, 27 MB malloc, 25 MB malloc, 27 MB malloc, 29 MB malloc, 28 MB malloc, 32 MB malloc, 33 MB malloc
A491: 24 MB malloc, 28 MB malloc, 22 MB malloc, 33 MB malloc, 31 MB malloc, 27 MB malloc, 29 MB malloc, 34 MB malloc, 38 MB malloc, 33 MB malloc
A492: 15 MB malloc, 25 MB malloc, 7 MB malloc, 30 MB malloc, 28 MB malloc, 12 MB malloc, 14 MB malloc, 31 MB malloc, 35 MB malloc, 18 MB malloc
A493: 24 MB malloc, 29 MB malloc, 21 MB malloc, 34 MB malloc, 32 MB malloc, 26 MB malloc, 28 MB malloc, 35 MB malloc, 39 MB malloc, 32 MB malloc
A494: 9 MB malloc, 13 MB malloc, 7 MB malloc, 18 MB malloc, 16 MB malloc, 12 MB malloc, 14 MB malloc, 19 MB malloc, 23 MB malloc, 18 MB malloc
A495: 16 MB malloc, 19 MB malloc, 15 MB malloc, 24 MB malloc, 22 MB malloc, 20 MB malloc, 22 MB malloc, 25 MB malloc, 29 MB malloc, 26 MB malloc
A496: 26 MB malloc, 27 MB malloc, 27 MB malloc, 32 MB malloc, 30 MB malloc, 32 MB malloc, 34 MB malloc, 33 MB malloc, 37 MB malloc, 38 MB malloc
A497: 15 MB malloc, 16 MB malloc, 16 MB malloc, 21 MB malloc, 19 MB malloc, 21 MB malloc, 23 MB malloc, 22 MB malloc, 26 MB malloc, 27 MB malloc
A498: 26 MB malloc, 28 MB malloc, 26 MB malloc, 33 MB malloc, 31 MB malloc, 31 MB malloc, 33 MB malloc, 34 MB malloc, 38 MB malloc, 37 MB malloc
A499: 19 MB malloc, 21 MB malloc, 19 MB malloc, 26 MB malloc, 24 MB malloc, 24 MB malloc, 26 MB malloc, 27 MB malloc, 31 MB malloc, 30 MB malloc
A500: 9 MB malloc, 17 MB malloc, 3 MB malloc, 22 MB malloc, 20 MB malloc, 8 MB malloc, 10 MB malloc, 23 MB malloc, 27 MB malloc, 14 MB malloc
A501: 7 MB malloc, 8 MB malloc, 8 MB malloc, 13 MB malloc, 11 MB malloc, 13 MB malloc, 15 MB malloc, 14 MB malloc, 18 MB malloc, 19 MB malloc
A502: 6 MB malloc, 7 MB malloc, 7 MB malloc, 12 MB malloc, 10 MB malloc, 12 MB malloc, 14 MB malloc, 13 MB malloc, 17 MB malloc, 18 MB malloc
A503: 16 MB malloc, 17 MB malloc, 17 MB malloc, 22 MB malloc, 20 MB malloc, 22 MB malloc, 24 MB malloc, 23 MB malloc, 27 MB malloc, 28 MB malloc
A504: 28 MB malloc, 29 MB malloc, 29 MB malloc, 34 MB malloc, 32 MB malloc, 34 MB malloc, 36 MB malloc, 35 MB malloc, 39 MB malloc, 40 MB malloc
A505: 22 MB malloc, 27 MB malloc, 19 MB malloc, 32 MB malloc, 30 MB malloc, 24 MB malloc, 26 MB malloc, 33 MB malloc, 37 MB malloc, 30 MB malloc
A506: 1 MB malloc, 4 MB malloc, 0 MB malloc, 9 MB malloc, 7 MB malloc, 5 MB malloc, 7 MB malloc, 10 MB malloc, 14 MB malloc, 11 MB malloc
A507: 27 MB malloc, 32 MB malloc, 24 MB malloc, 37 MB malloc, 35 MB malloc, 29 MB malloc, 31 MB malloc, 38 MB malloc, 42 MB malloc, 35 MB malloc
A508: 22 MB malloc, 23 MB malloc, 23 MB malloc, 28 MB malloc, 26 MB malloc, 28 MB malloc, 30 MB malloc, 29 MB malloc, 33 MB malloc, 34 MB malloc
A509: 4 MB malloc, 5 MB malloc, 5 MB malloc, 10 MB malloc, 8 MB malloc, 10 MB malloc, 12 MB malloc, 11 MB malloc, 15 MB malloc, 16 MB malloc
A510: 13 MB malloc, 20 MB malloc, 8 MB malloc, 25 MB malloc, 23 MB malloc, 13 MB malloc, 15 MB malloc, 26 MB malloc, 30 MB malloc, 19 MB malloc
A511: 12 MB malloc, 13 MB malloc, 13 MB malloc, 18 MB malloc, 16 MB malloc, 18 MB malloc, 20 MB malloc, 19 MB malloc, 23 MB malloc, 24 MB malloc
A512: 16 MB malloc, 17 MB malloc, 17 MB malloc, 22 MB malloc, 20 MB malloc, 22 MB malloc, 24 MB malloc, 23 MB malloc, 27 MB malloc, 28 MB malloc
A513: 4 MB malloc, 10 MB malloc, 0 MB malloc, 15 MB malloc, 13 MB malloc, 5 MB malloc, 7 MB malloc, 16 MB malloc, 20 MB malloc, 11 MB malloc
A514: 6 MB malloc, 11 MB malloc, 3 MB malloc, 16 MB malloc, 14 MB malloc, 8 MB malloc, 10 MB malloc, 17 MB malloc, 21 MB malloc, 14 MB malloc
A515: 14 MB malloc, 18 MB malloc, 12 MB malloc, 23 MB malloc, 21 MB malloc, 17 MB malloc, 19 MB malloc, 24 MB malloc, 28 MB malloc, 23 MB malloc
A516: 16 MB malloc, 21 MB malloc, 13 MB malloc, 26 MB malloc, 24 MB malloc, 18 MB malloc, 20 MB malloc, 27 MB malloc, 31 MB malloc, 24 MB malloc
A517: 23 MB malloc, 26 MB malloc, 22 MB malloc, 31 MB malloc, 29 MB malloc, 27 MB malloc, 29 MB malloc, 32 MB malloc, 36 MB malloc, 33 MB malloc
A518: 20 MB malloc, 22 MB malloc, 20 MB malloc, 27 MB malloc, 25 MB malloc, 25 MB malloc, 27 MB malloc, 28 MB malloc, 32 MB malloc, 31 MB malloc
A519: 7 MB malloc, 9 MB malloc, 7 MB malloc, 14 MB malloc, 12 MB malloc, 12 MB malloc, 14 MB malloc, 15 MB malloc, 19 MB malloc, 18 MB malloc
A520: 25 MB malloc, 29 MB malloc, 23 MB malloc, 34 MB malloc, 32 MB malloc, 28 MB malloc, 30 MB malloc, 35 MB malloc, 39 MB malloc, 34 MB malloc
A521: 14 MB malloc, 16 MB malloc, 14 MB malloc, 21 MB malloc, 19 MB malloc, 19 MB malloc, 21 MB malloc, 22 MB malloc, 26 MB malloc, 25 MB malloc
A522: 4 MB malloc, 11 MB malloc, -1 MB malloc, 16 MB malloc, 14 MB malloc, 4 MB malloc, 6 MB malloc, 17 MB malloc, 21 MB malloc, 10 MB malloc
A523: 8 MB malloc, 12 MB malloc, 6 MB malloc, 17 MB malloc, 15 MB malloc, 11 MB malloc, 13 MB malloc, 18 MB malloc, 22 MB malloc, 17 MB malloc
A524: 15 MB malloc, 21 MB malloc, 11 MB malloc, 26 MB malloc, 24 MB malloc, 16 MB malloc, 18 MB malloc, 27 MB malloc, 31 MB malloc, 22 MB malloc
A525: 16 MB malloc, 20 MB malloc, 14 MB malloc, 25 MB malloc, 23 MB malloc, 19 MB malloc, 21 MB malloc, 26 MB malloc, 30 MB malloc, 25 MB malloc
A526: 1 MB malloc, 8 MB malloc, -4 MB malloc, 13 MB malloc, 11 MB malloc, 1 MB malloc, 3 MB malloc, 14 MB malloc, 18 MB malloc, 7 MB malloc
A527: 30 MB malloc, 31 MB malloc, 31 MB malloc, 36 MB malloc, 34 MB malloc, 36 MB malloc, 38 MB malloc, 37 MB malloc, 41 MB malloc, 42 MB malloc
A528: 23 MB malloc, 30 MB malloc, 18 MB malloc, 35 MB malloc, 33 MB malloc, 23 MB malloc, 25 MB malloc, 36 MB malloc, 40 MB malloc, 29 MB malloc
A529: 1 MB malloc, 4 MB malloc, 0 MB malloc, 9 MB malloc, 7 MB malloc, 5 MB malloc, 7 MB malloc, 10 MB malloc, 14 MB malloc, 11 MB malloc
A530: 12 MB malloc, 13 MB malloc, 13 MB malloc, 18 MB malloc, 16 MB malloc, 18 MB malloc, 20 MB malloc, 19 MB malloc, 23 MB malloc, 24 MB malloc
A531: 6 MB malloc, 12 MB malloc, 2 MB malloc, 17 MB malloc, 15 MB malloc, 7 MB malloc, 9 MB malloc, 18 MB malloc, 22 MB malloc, 13 MB malloc
A532: 4 MB malloc, 6 MB malloc, 4 MB malloc, 11 MB malloc, 9 MB malloc, 9 MB malloc, 11 MB malloc, 12 MB malloc, 16 MB malloc, 15 MB malloc
A533: 3 MB malloc, 6 MB malloc, 2 MB malloc, 11 MB malloc, 9 MB malloc, 7 MB malloc, 9 MB malloc, 12 MB malloc, 16 MB malloc, 13 MB malloc
A534: 1 MB malloc, 11 MB malloc, -7 MB malloc, 16 MB malloc, 14 MB malloc, -2 MB malloc, 0 MB malloc, 17 MB malloc, 21 MB malloc, 4 MB malloc
A535: 10 MB malloc, 13 MB malloc, 9 MB malloc, 18 MB malloc, 16 MB malloc, 14 MB malloc, 16 MB malloc, 19 MB malloc, 23 MB malloc, 20 MB malloc
A536: 24 MB malloc, 25 MB malloc, 25 MB malloc, 30 MB malloc, 28 MB malloc, 30 MB malloc, 32 MB malloc, 31 MB malloc, 35 MB malloc, 36 MB malloc
A537: 24 MB malloc, 25 MB malloc, 25 MB malloc, 30 MB malloc, 28 MB malloc, 30 MB malloc, 32 MB malloc, 31 MB malloc, 35 MB malloc, 36 MB malloc
A538: 1 MB malloc, 5 MB malloc, -1 MB malloc, 10 MB malloc, 8 MB malloc, 4 MB malloc, 6 MB malloc, 11 MB malloc, 15 MB malloc, 10 MB malloc
A539: 29 MB malloc, 31 MB malloc, 29 MB malloc, 36 MB malloc, 34 MB malloc, 34 MB malloc, 36 MB malloc, 37 MB malloc, 41 MB malloc, 40 MB malloc
A540: 2 MB malloc, 3 MB malloc, 3 MB malloc, 8 MB malloc, 6 MB malloc, 8 MB malloc, 10 MB malloc, 9 MB malloc, 13 MB malloc, 14 MB malloc
A541: 11 MB malloc, 14 MB malloc, 10 MB malloc, 19 MB malloc, 17 MB malloc, 15 MB malloc, 17 MB malloc, 20 MB malloc, 24 MB malloc, 21 MB malloc
A542: 18 MB malloc, 19 MB malloc, 19 MB malloc, 24 MB malloc, 22 MB malloc, 24 MB malloc, 26 MB malloc, 25 MB malloc, 29 MB malloc, 30 MB malloc
A543: 11 MB malloc, 15 MB malloc, 9 MB malloc, 20 MB malloc, 18 MB malloc, 14 MB malloc, 16 MB malloc, 21 MB malloc, 25 MB malloc, 20 MB malloc
A544: 8 MB malloc, 16 MB malloc, 2 MB malloc, 21 MB malloc, 19 MB malloc, 7 MB malloc, 9 MB malloc, 22 MB malloc, 26 MB malloc, 13 MB malloc
A545: 20 MB malloc, 21 MB malloc, 21 MB malloc, 26 MB malloc, 24 MB malloc, 26 MB malloc, 28 MB malloc, 27 MB malloc, 31 MB malloc, 32 MB malloc
A546: 25 MB malloc, 29 MB malloc, 23 MB malloc, 34 MB malloc, 32 MB malloc, 28 MB malloc, 30 MB malloc, 35 MB malloc, 39 MB malloc, 34 MB malloc
A547: 8 MB malloc, 12 MB malloc, 6 MB malloc, 17 MB malloc, 15 MB malloc, 11 MB malloc, 13 MB malloc, 18 MB malloc, 22 MB malloc, 17 MB malloc
A548: 3 MB malloc, 7 MB malloc, 1 MB malloc, 12 MB malloc, 10 MB malloc, 6 MB malloc, 8 MB malloc, 13 MB malloc, 17 MB malloc, 12 MB malloc
A549: 14 MB malloc, 19 MB malloc, 11 MB malloc, 24 MB malloc, 22 MB malloc, 16 MB malloc, 18 MB malloc, 25 MB malloc, 29 MB malloc, 22 MB malloc
A550: 24 MB malloc, 26 MB malloc, 24 MB malloc, 31 MB malloc, 29 MB malloc, 29 MB malloc, 31 MB malloc, 32 MB malloc, 36 MB malloc, 35 MB malloc
A551: 18 MB malloc, 20 MB malloc, 18 MB malloc, 25 MB malloc, 23 MB malloc, 23 MB malloc, 25 MB malloc, 26 MB malloc, 30 MB malloc, 29 MB malloc
A552: 4 MB malloc, 5 MB malloc, 5 MB malloc, 10 MB malloc, 8 MB malloc, 10 MB malloc, 12 MB malloc, 11 MB malloc, 15 MB malloc, 16 MB malloc
A553: 27 MB malloc, 32 MB malloc, 24 MB malloc, 37 MB malloc, 35 MB malloc, 29 MB malloc, 31 MB malloc, 38 MB malloc, 42 MB malloc, 35 MB malloc
A554: 9 MB malloc, 10 MB malloc, 10 MB malloc, 15 MB malloc, 13 MB malloc, 15 MB malloc, 17 MB malloc, 16 MB malloc, 20 MB malloc, 21 MB malloc
A555: 28 MB malloc, 33 MB malloc, 25 MB malloc, 38 MB malloc, 36 MB malloc, 30 MB malloc, 32 MB malloc, 39 MB malloc, 43 MB malloc, 36 MB malloc
A556: 4 MB malloc, 14 MB malloc, -4 MB malloc, 19 MB malloc, 17 MB malloc, 1 MB malloc, 3 MB malloc, 20 MB malloc, 24 MB malloc, 7 MB malloc
A557: 18 MB malloc, 20 MB malloc, 18 MB malloc, 25 MB malloc, 23 MB malloc, 23 MB malloc, 25 MB malloc, 26 MB malloc, 30 MB malloc, 29 MB malloc
A558: 4 MB malloc, 5 MB malloc, 5 MB malloc, 10 MB malloc, 8 MB malloc, 10 MB malloc, 12 MB malloc, 11 MB malloc, 15 MB malloc, 16 MB malloc
A559: 8 MB malloc, 10 MB malloc, 8 MB malloc, 15 MB malloc, 13 MB malloc, 13 MB malloc, 15 MB malloc, 16 MB malloc, 20 MB malloc, 19 MB malloc
A560: 4 MB malloc, 7 MB malloc, 3 MB malloc, 12 MB malloc, 10 MB malloc, 8 MB malloc, 10 MB malloc, 13 MB malloc, 17 MB malloc, 14 MB malloc
A561: 22 MB malloc, 23 MB malloc, 23 MB malloc, 28 MB malloc, 26 MB malloc, 28 MB malloc, 30 MB malloc, 29 MB malloc, 33 MB malloc, 34 MB malloc
A562: 22 MB malloc, 24 MB malloc, 22 MB malloc, 29 MB malloc, 27 MB malloc, 27 MB malloc, 29 MB malloc, 30 MB malloc, 34 MB malloc, 33 MB malloc
A563: 30 MB malloc, 34 MB malloc, 28 MB malloc, 39 MB malloc, 37 MB malloc, 33 MB malloc, 35 MB malloc, 40 MB malloc, 44 MB malloc, 39 MB malloc
A564: 22 MB malloc, 25 MB malloc, 21 MB malloc, 30 MB malloc, 28 MB malloc, 26 MB malloc, 28 MB malloc, 31 MB malloc, 35 MB malloc, 32 MB malloc
A565: 29 MB malloc, 30 MB malloc, 30 MB malloc, 35 MB malloc, 33 MB malloc, 35 MB malloc, 37 MB malloc, 36 MB malloc, 40 MB malloc, 41 MB malloc
A566: 22 MB malloc, 24 MB malloc, 22 MB malloc, 29 MB malloc, 27 MB malloc, 27 MB malloc, 29 MB malloc, 30 MB malloc, 34 MB malloc, 33 MB malloc
A567: 18 MB malloc, 19 MB malloc, 19 MB malloc, 24 MB malloc, 22 MB malloc, 24 MB malloc, 26 MB malloc, 25 MB malloc, 29 MB malloc, 30 MB malloc
A568: 17 MB malloc, 18 MB malloc, 18 MB malloc, 23 MB malloc, 21 MB malloc, 23 MB malloc, 25 MB malloc, 24 MB malloc, 28 MB malloc, 29 MB malloc
A569: 7 MB malloc, 8 MB malloc, 8 MB malloc, 13 MB malloc, 11 MB malloc, 13 MB malloc, 15 MB malloc, 14 MB malloc, 18 MB malloc, 19 MB malloc
A570: 8 MB malloc, 18 MB malloc, 0 MB malloc, 23 MB malloc, 21 MB malloc, 5 MB malloc, 7 MB malloc, 24 MB malloc, 28 MB malloc, 11 MB malloc
A571: 25 MB malloc, 30 MB malloc, 22 MB malloc, 35 MB malloc, 33 MB malloc, 27 MB malloc, 29 MB malloc, 36 MB malloc, 40 MB malloc, 33 MB malloc
A572: 22 MB malloc, 24 MB malloc, 22 MB malloc, 29 MB malloc, 27 MB malloc, 27 MB malloc, 29 MB malloc, 30 MB malloc, 34 MB malloc, 33 MB malloc
A573: 24 MB malloc, 26 MB malloc, 24 MB malloc, 31 MB malloc, 29 MB malloc, 29 MB malloc, 31 MB malloc, 32 MB malloc, 36 MB malloc, 35 MB malloc
A574: 24 MB malloc, 26 MB malloc, 24 MB malloc, 31 MB malloc, 29 MB malloc, 29 MB malloc, 31 MB malloc, 32 MB malloc, 36 MB malloc, 35 MB malloc
A575: 25 MB malloc, 26 MB malloc, 26 MB malloc, 31 MB malloc, 29 MB malloc, 31 MB malloc, 33 MB malloc, 32 MB malloc, 36 MB malloc, 37 MB malloc
A576: 12 MB malloc, 13 MB malloc, 13 MB malloc, 18 MB malloc, 16 MB malloc, 18 MB malloc, 20 MB malloc, 19 MB malloc, 23 MB malloc, 24 MB malloc
A577: 16 MB malloc, 19 MB malloc, 15 MB malloc, 24 MB malloc, 22 MB malloc, 20 MB malloc, 22 MB malloc, 25 MB malloc, 29 MB malloc, 26 MB malloc
A578: 24 MB malloc, 27 MB malloc, 23 MB malloc, 32 MB malloc, 30 MB malloc, 28 MB malloc, 30 MB malloc, 33 MB malloc, 37 MB malloc, 34 MB malloc
A579: 5 MB malloc, 6 MB malloc, 6 MB malloc, 11 MB malloc, 9 MB malloc, 11 MB malloc, 13 MB malloc, 12 MB malloc, 16 MB malloc, 17 MB malloc
A580: 4 MB malloc, 6 MB malloc, 4 MB malloc, 11 MB malloc, 9 MB malloc, 9 MB malloc, 11 MB malloc, 12 MB malloc, 16 MB malloc, 15 MB malloc
A581: 21 MB malloc, 28 MB malloc, 16 MB malloc, 33 MB malloc, 31 MB malloc, 21 MB malloc, 23 MB malloc, 34 MB malloc, 38 MB malloc, 27 MB malloc
A582: 7 MB malloc, 9 MB malloc, 7 MB malloc, 14 MB malloc, 12 MB malloc, 12 MB malloc, 14 MB malloc, 15 MB malloc, 19 MB malloc, 18 MB malloc
A583: 23 MB malloc, 24 MB malloc, 24 MB malloc, 29 MB malloc, 27 MB malloc, 29 MB malloc, 31 MB malloc, 30 MB malloc, 34 MB malloc, 35 MB malloc
A584: 30 MB malloc, 32 MB malloc, 30 MB malloc, 37 MB malloc, 35 MB malloc, 35 MB malloc, 37 MB malloc, 38 MB malloc, 42 MB malloc, 41 MB malloc
A585: 26 MB malloc, 28 MB malloc, 26 MB malloc, 33 MB malloc, 31 MB malloc, 31 MB malloc, 33 MB malloc, 34 MB malloc, 38 MB malloc, 37 MB malloc
A586: 3 MB malloc, 5 MB malloc, 3 MB malloc, 10 MB malloc, 8 MB malloc, 8 MB malloc, 10 MB malloc, 11 MB malloc, 15 MB malloc, 14 MB malloc
A587: 5 MB malloc, 11 MB malloc, 1 MB malloc, 16 MB malloc, 14 MB malloc, 6 MB malloc, 8 MB malloc, 17 MB malloc, 21 MB malloc, 12 MB malloc
A588: 25 MB malloc, 29 MB malloc, 23 MB malloc, 34 MB malloc, 32 MB malloc, 28 MB malloc, 30 MB malloc, 35 MB malloc, 39 MB malloc, 34 MB malloc
A589: 27 MB malloc, 29 MB malloc, 27 MB malloc, 34 MB malloc, 32 MB malloc, 32 MB malloc, 34 MB malloc, 35 MB malloc, 39 MB malloc, 38 MB malloc
A590: 22 MB malloc, 27 MB malloc, 19 MB malloc, 32 MB malloc, 30 MB malloc, 24 MB malloc, 26 MB malloc, 33 MB malloc, 37 MB malloc, 30 MB malloc
A591: 25 MB malloc, 29 MB malloc, 23 MB malloc, 34 MB malloc, 32 MB malloc, 28 MB malloc, 30 MB malloc, 35 MB malloc, 39 MB malloc, 34 MB malloc
A592: 7 MB malloc, 15 MB malloc, 1 MB malloc, 20 MB malloc, 18 MB malloc, 6 MB malloc, 8 MB malloc, 21 MB malloc, 25 MB malloc, 12 MB malloc
A593: 5 MB malloc, 6 MB malloc, 6 MB malloc, 11 MB malloc, 9 MB malloc, 11 MB malloc, 13 MB malloc, 12 MB malloc, 16 MB malloc, 17 MB malloc
A594: 5 MB malloc, 7 MB malloc, 5 MB malloc, 12 MB malloc, 10 MB malloc, 10 MB malloc, 12 MB malloc, 13 MB malloc, 17 MB malloc, 16 MB malloc
A595: 12 MB malloc, 18 MB malloc, 8 MB malloc, 23 MB malloc, 21 MB malloc, 13 MB malloc, 15 MB malloc, 24 MB malloc, 28 MB malloc, 19 MB malloc
A596: 17 MB malloc, 19 MB malloc, 17 MB malloc, 24 MB malloc, 22 MB malloc, 22 MB malloc, 24 MB malloc, 25 MB malloc, 29 MB malloc, 28 MB malloc
